Technique,Model,F1 Score,Parameters,Fold
RandomUnderSampler,DecisionTreeClassifier,0.602537432827162,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",31
RandomUnderSampler,DecisionTreeClassifier,0.6080975639657831,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",32
RandomUnderSampler,DecisionTreeClassifier,0.604767822994874,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",33
RandomUnderSampler,DecisionTreeClassifier,0.5865544121456315,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",34
RandomUnderSampler,DecisionTreeClassifier,0.6112118176550039,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",35
RandomUnderSampler,DecisionTreeClassifier,0.5912728180999831,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",36
RandomUnderSampler,DecisionTreeClassifier,0.6612688644882975,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",37
RandomUnderSampler,DecisionTreeClassifier,0.6095783356649225,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",38
RandomUnderSampler,DecisionTreeClassifier,0.6682398213078327,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",39
RandomUnderSampler,DecisionTreeClassifier,0.5920930291258594,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",40
RandomUnderSampler,DecisionTreeClassifier,0.6551010675144486,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",41
RandomUnderSampler,DecisionTreeClassifier,0.6446387279528474,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",42
RandomUnderSampler,DecisionTreeClassifier,0.665529730905401,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",43
RandomUnderSampler,DecisionTreeClassifier,0.6155803081249271,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",44
RandomUnderSampler,DecisionTreeClassifier,0.6626295289417387,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",45
RandomUnderSampler,DecisionTreeClassifier,0.5887606467867739,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",46
RandomUnderSampler,DecisionTreeClassifier,0.6630232906849269,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",47
RandomUnderSampler,DecisionTreeClassifier,0.5834386482951421,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",48
RandomUnderSampler,DecisionTreeClassifier,0.6651565231610095,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",49
RandomUnderSampler,DecisionTreeClassifier,0.6303150225526308,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",50
RandomUnderSampler,DecisionTreeClassifier,0.6377446697298311,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",51
RandomUnderSampler,DecisionTreeClassifier,0.5685795214618394,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",52
RandomUnderSampler,DecisionTreeClassifier,0.6514921695694291,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",53
RandomUnderSampler,DecisionTreeClassifier,0.5700085015458043,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",54
RandomUnderSampler,DecisionTreeClassifier,0.6422112647467145,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",55
RandomUnderSampler,DecisionTreeClassifier,0.5656563302890463,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",56
RandomUnderSampler,DecisionTreeClassifier,0.6431333186682368,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",57
RandomUnderSampler,DecisionTreeClassifier,0.6188606558208952,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",58
RandomUnderSampler,DecisionTreeClassifier,0.6738577621335808,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",59
RandomUnderSampler,DecisionTreeClassifier,0.5831523769024559,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",60
RandomUnderSampler,DecisionTreeClassifier,0.6233965123155643,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",61
RandomUnderSampler,DecisionTreeClassifier,0.6124472634887806,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",62
RandomUnderSampler,DecisionTreeClassifier,0.6592401686038171,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",63
RandomUnderSampler,DecisionTreeClassifier,0.5994267742346959,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",64
RandomUnderSampler,DecisionTreeClassifier,0.6416934975815423,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",65
RandomUnderSampler,DecisionTreeClassifier,0.6307869082290052,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",66
RandomUnderSampler,DecisionTreeClassifier,0.6466259037675728,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",67
RandomUnderSampler,DecisionTreeClassifier,0.6004658728957721,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",68
RandomUnderSampler,DecisionTreeClassifier,0.6516046951258088,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",69
RandomUnderSampler,DecisionTreeClassifier,0.5981986976616985,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",70
RandomUnderSampler,DecisionTreeClassifier,0.6665685623426237,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",71
RandomUnderSampler,DecisionTreeClassifier,0.6232293206934961,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",72
RandomUnderSampler,DecisionTreeClassifier,0.6612652934387567,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",73
RandomUnderSampler,DecisionTreeClassifier,0.6395807766315136,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",74
RandomUnderSampler,DecisionTreeClassifier,0.6603213230951426,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",75
RandomUnderSampler,DecisionTreeClassifier,0.6515927623661074,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",76
RandomUnderSampler,DecisionTreeClassifier,0.6585197301436742,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",77
RandomUnderSampler,DecisionTreeClassifier,0.6437001873193251,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",78
RandomUnderSampler,DecisionTreeClassifier,0.6433125048850001,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",79
RandomUnderSampler,DecisionTreeClassifier,0.6406394217505557,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",80
RandomUnderSampler,DecisionTreeClassifier,0.6683337282900271,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",81
RandomUnderSampler,DecisionTreeClassifier,0.6331998096236097,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",82
RandomUnderSampler,DecisionTreeClassifier,0.6401500120286686,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",83
RandomUnderSampler,DecisionTreeClassifier,0.6498638186519411,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",84
RandomUnderSampler,DecisionTreeClassifier,0.6685521237966024,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",85
RandomUnderSampler,DecisionTreeClassifier,0.643107553918391,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",86
RandomUnderSampler,DecisionTreeClassifier,0.6535492498457399,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",87
RandomUnderSampler,DecisionTreeClassifier,0.6337815509816839,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",88
RandomUnderSampler,DecisionTreeClassifier,0.6577676731139948,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",89
RandomUnderSampler,DecisionTreeClassifier,0.6464272373988222,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",90
RandomUnderSampler,DecisionTreeClassifier,0.6545854497490938,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",91
RandomUnderSampler,DecisionTreeClassifier,0.6402010490570597,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",92
RandomUnderSampler,DecisionTreeClassifier,0.6611194015009755,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",93
RandomUnderSampler,DecisionTreeClassifier,0.6225302115006102,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",94
RandomUnderSampler,DecisionTreeClassifier,0.6679201319500291,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",95
RandomUnderSampler,DecisionTreeClassifier,0.6515675970420741,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",96
RandomUnderSampler,DecisionTreeClassifier,0.6495387111458347,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",97
RandomUnderSampler,DecisionTreeClassifier,0.6371645991038244,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",98
RandomUnderSampler,DecisionTreeClassifier,0.6557070509847835,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",99
RandomUnderSampler,DecisionTreeClassifier,0.6484628744179165,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",100
RandomUnderSampler,DecisionTreeClassifier,0.6561778930311915,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",101
RandomUnderSampler,DecisionTreeClassifier,0.6334546715853593,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",102
RandomUnderSampler,DecisionTreeClassifier,0.6601393837846479,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",103
RandomUnderSampler,DecisionTreeClassifier,0.6428553789095452,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",104
RandomUnderSampler,DecisionTreeClassifier,0.6606184704369424,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",105
RandomUnderSampler,DecisionTreeClassifier,0.6499869999834182,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",106
RandomUnderSampler,DecisionTreeClassifier,0.666278164150476,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",107
RandomUnderSampler,DecisionTreeClassifier,0.6449544840614655,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",108
RandomUnderSampler,DecisionTreeClassifier,0.626256073604516,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",109
RandomUnderSampler,DecisionTreeClassifier,0.6236304953747396,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",110
RandomUnderSampler,DecisionTreeClassifier,0.6266103651649474,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",111
RandomUnderSampler,DecisionTreeClassifier,0.6255831461770879,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",112
RandomUnderSampler,DecisionTreeClassifier,0.6364266601554809,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",113
RandomUnderSampler,DecisionTreeClassifier,0.6384846805391253,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",114
RandomUnderSampler,DecisionTreeClassifier,0.6231385857904225,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",115
RandomUnderSampler,DecisionTreeClassifier,0.6147715002722531,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",116
RandomUnderSampler,DecisionTreeClassifier,0.6144374656644741,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",117
RandomUnderSampler,DecisionTreeClassifier,0.6232993819051915,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",118
RandomUnderSampler,DecisionTreeClassifier,0.6356519744100044,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",119
RandomUnderSampler,DecisionTreeClassifier,0.618392375952661,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",120
RandomUnderSampler,DecisionTreeClassifier,0.6159128835779741,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",121
RandomUnderSampler,DecisionTreeClassifier,0.6312947597814267,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",122
RandomUnderSampler,DecisionTreeClassifier,0.6234938996113543,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",123
RandomUnderSampler,DecisionTreeClassifier,0.6189352528779437,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",124
RandomUnderSampler,DecisionTreeClassifier,0.6347193122899336,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",125
RandomUnderSampler,DecisionTreeClassifier,0.6251812539944996,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",126
RandomUnderSampler,DecisionTreeClassifier,0.6255215421475488,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",127
RandomUnderSampler,DecisionTreeClassifier,0.6109654945663469,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",128
RandomUnderSampler,DecisionTreeClassifier,0.630508200830359,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",129
RandomUnderSampler,DecisionTreeClassifier,0.6284422334388082,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",130
RandomUnderSampler,DecisionTreeClassifier,0.6263024912729304,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",131
RandomUnderSampler,DecisionTreeClassifier,0.6277357339722407,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",132
RandomUnderSampler,DecisionTreeClassifier,0.6162164440704491,"{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",133
